,moodle_points,classification
0,1.0,3
1,0.5,0
2,0.5,2
3,0.5,Parsing Error
4,0.5,1
5,0.5,3
6,0.5,1
7,0.5,2
8,0.5,1
9,1.0,3
10,1.0,3
11,1.0,3
12,1.0,3
13,1.0,3
14,1.0,Parsing Error
15,0.5,0
16,1.0,1
17,1.0,3
18,1.0,3
19,1.0,Parsing Error
20,0.5,2
21,0.5,Parsing Error
22,0.5,1
23,1.0,3
24,0.0,0
25,0.0,Parsing Error
26,1.0,3
27,1.0,3
28,1.0,3
29,1.0,3
30,1.0,3
31,0.0,2
32,1.0,3
33,1.0,3
34,1.0,3
35,0.0,2
36,0.0,2
37,0.0,1
38,0.0,1
39,1.0,3
40,0.0,1
41,0.0,1
42,0.0,Parsing Error
43,1.0,3
44,0.0,2
45,1.0,3
46,1.0,Parsing Error
47,0.0,2
48,0.0,0
49,0.0,Parsing Error
50,1.0,3
51,1.0,Parsing Error
52,1.0,3
53,1.0,Parsing Error
54,0.5,2
55,1.0,3
56,1.0,3
57,0.0,2
58,0.0,Parsing Error
59,0.0,0
60,0.0,3
61,0.0,2
62,0.0,1
63,1.0,3
64,1.0,3
65,1.0,3
66,1.0,Parsing Error
67,1.0,Parsing Error
68,1.0,3
69,1.0,3
70,0.5,1
71,1.0,3
72,1.0,Parsing Error
73,0.0,3
