,ids,correct,classification
0,[1],False,1
1,"[2, 5, 7, 12, 16, 17, 18, 24, 31, 34, 36, 40, 44, 49, 55, 57, 59, 61, 67, 68, 71, 74, 78, 82, 89, 91, 94, 96, 98, 100, 101, 103, 104, 105, 110, 111, 115, 118, 121, 122, 130, 134, 138, 139, 141, 147, 150, 155, 157, 163]",True,3
2,"[3, 4, 29, 30, 53, 56, 58, 88, 106, 126, 137, 160]",True,3
3,"[6, 77, 124, 143]",True,3
4,[8],False,1
5,"[9, 26, 28, 32, 43, 69, 70, 80]",False,2
6,"[10, 95]",True,3
7,"[11, 63]",True,3
8,[13],False,2
9,[14],False,2
10,[15],False,1
11,"[21, 97]",False,0
12,[22],False,1
13,[23],False,2
14,"[25, 27, 42, 62, 116, 125, 128, 133, 142, 151, 159, 162]",True,3
15,"[33, 38, 52, 60, 65, 99, 108, 113, 114, 132, 136]",True,3
16,[35],False,0
17,[37],False,0
18,"[39, 41, 45, 64, 165]",False,2
19,"[46, 112]",False,0
20,[48],True,3
21,"[50, 76, 83, 120, 123]",True,3
22,[51],True,3
23,"[54, 93, 135]",False,2
24,[72],False,2
25,[73],False,1
26,[79],False,2
27,[81],False,0
28,[84],False,1
29,[85],True,3
30,[86],True,3
31,[87],True,3
32,[90],False,2
33,[92],False,1
34,"[102, 153]",False,2
35,[117],False,1
36,[119],False,2
37,[131],False,2
38,[140],False,0
39,[145],False,0
40,[146],False,2
41,[148],False,1
42,[154],False,1
43,[156],False,2
44,[161],False,0
