,ids,correct,classification
0,"[1, 2, 4, 5, 7, 11, 12, 16, 17, 24, 26, 28, 30, 31, 32, 36, 37, 38, 39, 40, 42, 43, 45, 46, 48, 50, 56, 57, 58, 60, 62, 64, 68, 69, 73, 76, 84, 96, 97, 99, 105, 114, 120, 122, 127, 129, 135, 140, 152, 156, 159, 163]",True,3
1,[3],True,3
2,[6],False,1
3,[8],False,0
4,[9],False,1
5,"[10, 63]",False,1
6,[13],False,0
7,[14],False,0
8,"[15, 23, 44, 52, 131, 132, 148]",False,1
9,[19],True,3
10,"[20, 80]",True,3
11,[21],False,1
12,[22],True,3
13,"[25, 118]",True,3
14,"[27, 33, 155]",False,1
15,[29],False,0
16,[34],False,1
17,[35],False,2
18,"[41, 113]",False,1
19,[47],False,1
20,[49],False,0
21,"[51, 61]",False,2
22,"[53, 55, 71, 87]",False,2
23,"[54, 123]",False,2
24,"[59, 154]",False,1
25,[65],False,2
26,[66],False,1
27,"[67, 83, 94, 110]",True,3
28,[70],True,3
29,[72],False,0
30,[74],True,3
31,[77],True,3
32,[78],False,1
33,[79],False,0
34,[81],True,3
35,[82],False,1
36,[85],False,0
37,[86],False,1
38,[88],False,0
39,[89],True,3
40,[90],False,1
41,[91],False,0
42,[92],False,1
43,[93],False,0
44,[95],False,1
45,[98],False,1
46,"[100, 119]",False,0
47,[101],False,0
48,[102],False,1
49,[103],False,0
50,[104],False,1
51,"[106, 137]",False,2
52,[108],False,1
53,[109],False,0
54,[111],False,1
55,[112],False,0
56,[115],False,2
57,[116],False,2
58,[117],False,1
59,[121],False,1
60,[124],False,1
61,[125],False,0
62,[126],False,1
63,"[128, 162]",False,1
64,[130],True,3
65,[133],False,2
66,[134],False,0
67,[138],False,2
68,[139],True,3
69,[141],False,0
70,[142],False,1
71,[143],False,0
72,[144],False,0
73,[145],False,0
74,[146],True,3
75,[147],False,2
76,[150],False,0
77,[151],False,0
78,[153],False,2
79,[157],False,1
80,[160],False,2
81,[164],False,0
82,[165],False,2
