,ids,correct,classification
0,[1],False,0
1,"[2, 52]",True,3
2,[3],False,1
3,[4],False,1
4,"[5, 6, 11, 22, 23, 25, 26, 28, 30, 31, 33, 36, 38, 41, 42, 44, 47, 53, 59, 66, 70, 79, 81, 83, 85, 94, 96, 109, 115, 117, 118, 127, 141, 149, 150, 151]",True,3
5,[7],True,3
6,"[8, 92, 97, 99, 112, 114, 123, 126]",True,3
7,[9],False,2
8,"[10, 61]",False,2
9,"[13, 72, 111]",True,3
10,"[14, 51, 63, 69, 142, 158]",True,3
11,[15],False,0
12,"[16, 62, 65, 75, 89, 148, 155]",True,3
13,"[17, 48]",False,2
14,[19],True,3
15,[20],False,2
16,[21],True,3
17,[24],True,3
18,[27],False,2
19,"[29, 161]",True,3
20,[32],False,0
21,[34],False,2
22,[35],False,2
23,"[37, 162]",False,2
24,"[39, 163]",True,3
25,[40],False,2
26,[43],False,2
27,"[45, 164]",False,1
28,[46],False,2
29,[49],True,3
30,[50],False,2
31,[54],False,0
32,"[55, 57, 91, 129, 131, 165]",True,3
33,"[56, 130]",True,3
34,[58],True,3
35,"[60, 105]",False,1
36,[64],False,2
37,"[67, 168]",False,1
38,"[68, 167]",False,2
39,"[74, 113, 132]",False,2
40,[76],False,0
41,"[77, 166]",False,1
42,[78],False,2
43,[80],True,3
44,[82],False,2
45,[84],False,2
46,[86],False,1
47,[87],True,3
48,[88],False,2
49,[90],False,2
50,[93],True,3
51,[95],True,3
52,[98],False,2
53,[101],False,2
54,[104],False,2
55,[106],False,1
56,[107],False,2
57,[108],False,2
58,[110],False,2
59,[116],False,2
60,[119],False,2
61,[120],False,1
62,[121],False,2
63,[122],False,2
64,[124],False,2
65,[125],False,0
66,[133],True,3
67,[134],False,1
68,[135],True,3
69,[136],False,0
70,[137],False,0
71,[138],False,2
72,[139],False,0
73,[143],True,3
74,[144],False,1
75,[146],False,0
76,[147],False,0
77,[152],False,2
78,[153],True,3
79,[156],False,2
80,[157],False,1
81,[159],False,1
82,[160],False,0
