,Unnamed: 0,ids,correct,classification
0,0,[1],False,0
1,1,[2],True,3
2,2,[3],False,Parsing Error
3,3,"[4, 5, 8, 20, 21, 23, 25, 26, 27, 29, 30, 34, 35, 37, 39, 40, 41, 42, 46, 50, 53, 55, 56, 57, 59, 63, 64, 66, 67, 68, 70, 71, 73, 75, 76, 77, 80, 82]",True,3
4,4,[6],False,2
5,5,[7],False,2
6,6,"[10, 19, 33, 49, 51, 58]",False,"{10: '3', 19: '2', 33: '2', 49: '2', 51: '2', 58: '2'}"
7,7,[11],False,2
8,8,[12],False,0
9,9,[13],False,2
10,10,[14],False,0
11,11,[15],True,3
12,12,[16],False,1
13,13,[22],False,1
14,14,[24],False,0
15,15,[28],False,1
16,16,"[31, 52, 81]",True,3
17,17,[32],False,1
18,18,[38],False,1
19,19,[43],False,1
20,20,[47],False,1
21,21,[48],False,2
22,22,[61],False,2
23,23,[62],False,0
24,24,[65],False,1
25,25,[69],True,3
26,26,[72],False,0
27,27,[74],False,1
28,28,[78],False,2
29,29,[79],False,0
