,Unnamed: 0,ids,correct,classification
0,0,[1],True,3
1,1,"[2, 5, 20, 26, 65]",False,2
2,2,[3],False,0
3,3,[4],False,2
4,4,[6],False,1
5,5,"[7, 17, 19, 22, 24, 25, 27, 30, 31, 33, 34, 35, 36, 39, 40, 43, 46, 47, 54, 56, 59, 60, 61, 66, 67, 72]",True,3
6,6,[8],False,1
7,7,"[9, 12, 21, 52, 55]",True,3
8,8,[10],False,1
9,9,"[11, 64]",False,1
10,10,[13],False,1
11,11,[14],False,1
12,12,[15],False,1
13,13,[16],False,0
14,14,[18],False,1
15,15,[23],False,0
16,16,[28],False,1
17,17,"[29, 48, 50]",False,2
18,18,[32],False,2
19,19,[37],False,0
20,20,[38],False,2
21,21,[41],False,2
22,22,[42],False,0
23,23,[44],False,2
24,24,[45],False,1
25,25,[49],False,0
26,26,[51],False,0
27,27,[53],False,2
28,28,[57],True,3
29,29,[58],False,1
30,30,[62],True,3
31,31,[63],False,2
32,32,[68],True,3
33,33,[69],False,0
34,34,[70],False,1
