,Unnamed: 0,ids,correct,classification
0,0,"[1, 5, 6, 10, 12, 14, 22, 24, 26, 34, 38, 39, 45, 51, 54, 58, 59, 60, 64, 68]",False,2
1,1,[2],False,1
2,2,[3],False,2
3,3,[4],False,2
4,4,"[7, 8, 18, 20, 21, 23, 25, 29, 30, 33, 37, 41, 42, 44, 47, 49, 52, 53, 55, 56, 57, 65]",True,3
5,5,[9],False,2
6,6,"[11, 63]",False,1
7,7,[13],False,0
8,8,[15],False,0
9,9,[16],False,2
10,10,[17],False,0
11,11,[19],False,1
12,12,[27],False,1
13,13,[28],False,2
14,14,[31],False,1
15,15,[32],False,2
16,16,[36],False,2
17,17,[40],False,1
18,18,[43],False,2
19,19,[46],False,2
20,20,"[48, 62, 66]",False,1
21,21,[50],False,0
22,22,[61],False,2
23,23,[67],False,0
