,Unnamed: 0,ids,correct,classification
0,0,"[1, 2, 5, 7, 11, 14, 15, 17, 19, 21, 22, 24, 25, 26, 29, 31, 32, 34, 35, 36, 37, 38, 39, 40, 41, 44, 46, 50, 51, 53, 54, 56, 57, 60, 61, 67]",True,3
1,1,[3],False,1
2,2,[4],True,2
3,3,"[6, 10, 12, 18, 27, 33, 45, 47, 48, 52, 59, 62, 65, 66, 71]",True,3
4,4,[8],False,0
5,5,[9],False,0
6,6,[13],False,1
7,7,[16],False,0
8,8,[20],False,1
9,9,[23],False,1
10,10,"[28, 64]",False,1
11,11,"[30, 43]",False,1
12,12,[42],False,2
13,13,[49],False,2
14,14,[63],False,1
15,15,[68],False,2
16,16,[69],False,1
17,17,[70],True,3
