,Unnamed: 0,ids,correct,classification
0,0,"[1, 2, 4, 7, 8, 10, 11, 15, 17, 18, 19, 21, 25, 26, 29, 31, 33, 34, 35, 37, 38, 39, 42, 45, 51, 53, 55, 57, 61, 63, 65, 67, 69]",True,3
1,1,[5],False,2
2,2,"[6, 64]",False,2
3,3,"[9, 27, 47]",False,2
4,4,"[12, 22, 28, 30, 32, 40, 46, 52, 59, 60, 66, 70]",False,2
5,5,[13],False,1
6,6,[14],False,1
7,7,[16],False,0
8,8,[20],False,1
9,9,[23],False,2
10,10,[36],False,2
11,11,[41],False,0
12,12,[43],True,3
13,13,[44],False,1
14,14,[48],False,1
15,15,[49],False,1
16,16,[50],False,0
17,17,[54],False,2
18,18,[56],False,1
19,19,[58],True,3
20,20,[62],False,0
