,Unnamed: 0,ids,correct,classification
0,0,"[1, 7, 8, 10, 11, 12, 15, 17, 21, 22, 23, 28, 30, 33, 34, 35, 38, 39, 40, 41, 47, 48, 50, 51, 53, 54, 55, 58, 63, 64]",True,3
1,1,[3],False,1
2,2,[4],False,2
3,3,[5],False,2
4,4,[6],True,3
5,5,[9],False,1
6,6,[14],True,3
7,7,"[16, 37]",True,3
8,8,[18],False,1
9,9,[19],True,3
10,10,"[20, 45]",True,3
11,11,[24],True,3
12,12,[25],True,3
13,13,[26],False,1
14,14,"[27, 49]",True,3
15,15,[29],False,2
16,16,"[31, 42]",False,2
17,17,"[32, 44]",False,1
18,18,"[36, 60]",False,1
19,19,"[46, 57, 61, 62]",False,2
20,20,[56],False,2
21,21,[59],False,2
