,Unnamed: 0,ids,correct,classification
0,0,"[1, 5, 12, 13, 14, 15, 22, 25, 28, 34, 36, 40]",True,3
1,1,[2],False,0
2,2,[3],False,1
3,3,[4],False,1
4,4,[6],False,0
5,5,[7],False,1
6,6,[8],False,2
7,7,[9],True,3
8,8,[10],False,0
9,9,"[11, 32]",False,1
10,10,[16],False,1
11,11,[17],False,0
12,12,[19],False,0
13,13,[20],False,2
14,14,[21],False,1
15,15,[23],False,0
16,16,[24],False,0
17,17,[26],False,0
18,18,[27],False,1
19,19,[29],False,0
20,20,[31],False,0
21,21,[33],False,2
22,22,[37],False,2
23,23,[38],False,0
24,24,[39],False,0
25,25,[42],False,0
