,moodle_points,classification
0,0.5,2
1,0.5,Parsing Error
2,0.5,Parsing Error
3,1.0,3
4,1.0,3
5,1.0,Parsing Error
6,1.0,3
7,1.0,3
8,0.5,1
9,1.0,2
10,1.0,3
11,1.0,3
12,1.0,Parsing Error
13,1.0,Parsing Error
14,0.5,2
15,0.5,Parsing Error
16,1.0,3
17,1.0,Parsing Error
18,1.0,Parsing Error
19,1.0,Parsing Error
20,1.0,Parsing Error
21,0.0,0
22,0.0,Parsing Error
23,0.0,2
24,1.0,3
25,1.0,3
26,1.0,Parsing Error
27,1.0,3
28,1.0,Parsing Error
29,1.0,3
30,1.0,3
31,1.0,3
32,1.0,2
33,1.0,3
34,1.0,3
35,1.0,Parsing Error
36,1.0,3
37,0.0,0
38,0.0,Parsing Error
39,0.0,2
40,1.0,3
41,0.5,2
42,1.0,3
43,1.0,2
44,1.0,3
45,0.5,2
46,0.5,Parsing Error
47,0.5,Parsing Error
48,1.0,3
49,1.0,Parsing Error
50,1.0,Parsing Error
51,1.0,3
52,1.0,Parsing Error
53,1.0,3
54,1.0,Parsing Error
55,1.0,Parsing Error
56,1.0,3
57,1.0,3
58,1.0,3
59,1.0,3
60,1.0,3
61,1.0,3
62,1.0,3
63,1.0,3
64,1.0,Parsing Error
65,1.0,3
66,1.0,Parsing Error
67,1.0,3
68,1.0,3
69,1.0,2
70,1.0,2
71,1.0,3
72,0.0,2
73,0.0,Parsing Error
74,1.0,3
75,1.0,Parsing Error
76,1.0,3
77,1.0,3
78,1.0,3
79,0.5,2
80,1.0,2
81,0.0,0
82,1.0,3
83,1.0,Parsing Error
84,0.5,1
85,1.0,3
86,1.0,3
87,1.0,3
88,1.0,3
89,1.0,3
90,0.5,2
91,1.0,3
92,1.0,Parsing Error
93,1.0,Parsing Error
94,1.0,3
95,1.0,3
96,1.0,3
97,0.5,1
98,1.0,3
99,1.0,3
100,1.0,3
101,1.0,3
102,0.5,2
103,1.0,3
104,1.0,3
105,1.0,3
106,1.0,3
107,1.0,Parsing Error
108,1.0,3
109,1.0,Parsing Error
110,1.0,3
111,1.0,3
112,0.5,0
113,1.0,3
114,1.0,3
115,1.0,3
116,1.0,3
117,0.5,1
118,0.5,Parsing Error
119,1.0,2
120,1.0,3
121,1.0,3
122,1.0,Parsing Error
123,1.0,3
124,1.0,3
125,1.0,3
126,1.0,3
127,1.0,Parsing Error
128,1.0,3
129,1.0,Parsing Error
130,1.0,3
131,0.0,2
132,1.0,3
133,1.0,3
134,1.0,3
135,1.0,Parsing Error
136,1.0,3
137,1.0,3
138,1.0,3
139,1.0,Parsing Error
140,1.0,Parsing Error
141,1.0,3
142,1.0,3
143,1.0,3
144,1.0,Parsing Error
145,1.0,Parsing Error
146,0.5,2
147,1.0,3
148,1.0,Parsing Error
149,1.0,Parsing Error
150,1.0,3
151,1.0,3
152,1.0,Parsing Error
153,0.5,2
154,0.0,1
155,1.0,3
156,0.5,2
157,1.0,3
158,1.0,Parsing Error
159,1.0,3
160,1.0,3
161,1.0,Parsing Error
162,1.0,3
163,1.0,3
164,1.0,Parsing Error
165,0.5,2
