,moodle_points,classification
0,0.5,1
1,1.0,3
2,1.0,3
3,1.0,3
4,1.0,3
5,1.0,3
6,0.5,1
7,1.0,3
8,0.5,0
9,0.5,1
10,0.5,2
11,1.0,3
12,1.0,3
13,0.0,0
14,0.5,0
15,0.5,2
16,1.0,3
17,1.0,3
18,1.0,Parsing Error
19,1.0,3
20,1.0,3
21,0.5,1
22,1.0,3
23,0.5,2
24,1.0,3
25,1.0,3
26,1.0,3
27,0.5,2
28,1.0,3
29,0.5,0
30,1.0,3
31,1.0,3
32,1.0,3
33,0.5,2
34,0.5,1
35,0.5,2
36,1.0,3
37,1.0,3
38,1.0,3
39,1.0,3
40,1.0,3
41,0.5,0
42,1.0,3
43,1.0,3
44,0.5,2
45,1.0,3
46,1.0,3
47,0.5,1
48,1.0,3
49,0.5,0
50,1.0,3
51,0.5,1
52,0.5,1
53,0.5,2
54,0.5,Parsing Error
55,0.5,2
56,1.0,3
57,1.0,3
58,1.0,3
59,0.5,1
60,1.0,3
61,0.5,2
62,1.0,3
63,0.5,1
64,1.0,3
65,0.5,2
66,0.0,1
67,1.0,3
68,1.0,3
69,1.0,3
70,1.0,3
71,0.5,2
72,0.5,0
73,1.0,3
74,1.0,3
75,1.0,Parsing Error
76,1.0,3
77,1.0,3
78,0.5,1
79,0.5,0
80,1.0,3
81,1.0,3
82,0.5,1
83,1.0,3
84,1.0,3
85,0.5,0
86,0.5,1
87,0.5,2
88,0.5,0
89,1.0,3
90,0.0,1
91,0.5,0
92,0.5,1
93,0.0,0
94,1.0,3
95,0.5,1
96,1.0,3
97,1.0,3
98,0.5,1
99,1.0,3
100,0.0,0
101,0.5,0
102,0.5,1
103,0.0,0
104,0.5,1
105,1.0,3
106,0.5,1
107,0.5,Parsing Error
108,0.5,1
109,0.5,0
110,1.0,3
111,0.5,1
112,0.5,0
113,0.5,2
114,1.0,3
115,0.5,2
116,0.0,2
117,0.0,1
118,1.0,3
119,0.0,0
120,1.0,3
121,0.5,1
122,1.0,3
123,0.0,2
124,0.5,1
125,0.5,0
126,0.0,1
127,1.0,3
128,0.0,1
129,1.0,3
130,1.0,3
131,0.5,1
132,0.5,2
133,0.0,2
134,0.0,0
135,1.0,3
136,1.0,Parsing Error
137,0.5,2
138,0.5,2
139,1.0,3
140,1.0,3
141,0.0,0
142,0.0,1
143,0.0,0
144,0.0,Parsing Error
145,0.5,0
146,1.0,3
147,0.0,2
148,0.0,2
149,0.0,Parsing Error
150,0.0,0
151,0.0,0
152,1.0,3
153,0.5,2
154,0.5,1
155,0.5,1
156,1.0,3
157,0.5,1
158,0.5,Parsing Error
159,1.0,3
160,0.5,2
161,0.0,Parsing Error
162,0.5,1
163,1.0,3
164,0.5,0
165,0.5,2
