,moodle_points,classification
0,1.0,2
1,0.0,0
2,1.0,3
3,1.0,Parsing Error
4,1.0,3
5,1.0,3
6,0.5,2
7,0.5,2
8,1.0,3
9,1.0,Parsing Error
10,1.0,3
11,0.5,2
12,0.0,0
13,0.5,2
14,0.0,0
15,1.0,3
16,0.0,1
17,0.5,Parsing Error
18,0.5,Parsing Error
19,1.0,2
20,1.0,3
21,1.0,3
22,0.5,1
23,1.0,3
24,0.0,0
25,1.0,3
26,1.0,3
27,1.0,3
28,0.5,1
29,1.0,3
30,1.0,3
31,1.0,3
32,1.0,1
33,1.0,2
34,1.0,3
35,1.0,3
36,1.0,Parsing Error
37,1.0,3
38,0.5,1
39,1.0,3
40,1.0,3
41,1.0,3
42,1.0,3
43,0.5,1
44,0.5,Parsing Error
45,0.5,Parsing Error
46,1.0,3
47,0.0,1
48,0.5,2
49,1.0,2
50,1.0,3
51,1.0,2
52,1.0,3
53,1.0,3
54,1.0,3
55,1.0,3
56,1.0,3
57,1.0,3
58,1.0,2
59,1.0,3
60,1.0,Parsing Error
61,0.5,2
62,0.5,0
63,1.0,3
64,1.0,3
65,0.5,1
66,1.0,3
67,1.0,3
68,1.0,3
69,1.0,3
70,1.0,3
71,1.0,3
72,0.5,0
73,1.0,3
74,0.0,1
75,1.0,3
76,1.0,3
77,1.0,3
78,0.5,2
79,0.5,0
80,1.0,3
81,1.0,3
